design,body_mm,nose_mm,nose_shape,motor,fin_count,span_mm,variant,variant_size,wind_m_s,wind_heading_deg,launch_mass_g,loaded_cg_mm,added_mass_g,collar_mass_g,status,warnings,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m
b500-n40-ogive-D12-3f-s53p6538-reference-0,500,40,ogive,D12-5,3,53.65384615384615,reference,0,0,0,220.3860723826824,306.19373984675934,0,27.0,completed,[],188.16395982821612,12.887525143638317,2.2574246508886344,0.7242354470343542,4.908447187874589,0.092977032681959
b500-n40-ogive-D12-3f-s53p6538-reference-0,500,40,ogive,D12-5,3,53.65384615384615,reference,0,4,0,220.3860723826824,306.19373984675934,0,27.0,completed,[],180.75690339188915,12.881269744966685,1.7669101170231079,6.653391811587768,4.9084469921889555,98.29286656718651
b500-n40-ogive-D12-3f-s53p6538-reference-0,500,40,ogive,D12-5,3,53.65384615384615,reference,0,4,90,220.3860723826824,306.19373984675934,0,27.0,completed,[],180.75235694800588,12.881270250911422,1.7669105252644786,6.63657167898539,4.908335236129921,98.37014364385023
b500-n40-ogive-E12-3f-s53p6538-reference-0,500,40,ogive,E12-6,3,53.65384615384615,reference,0,0,0,236.6860723826824,316.92226313896305,0,27.0,completed,[],341.9673038990801,13.025178820504923,2.5558116417700965,1.4955980891312202,4.92688736080671,0.21432080374372536
b500-n40-ogive-E12-3f-s53p6538-reference-0,500,40,ogive,E12-6,3,53.65384615384615,reference,0,4,0,236.6860723826824,316.92226313896305,0,27.0,completed,[],329.69763368717247,13.01933516321744,1.5086781847324944,7.943519904768048,4.92688698222188,183.22082173644418
b500-n40-ogive-E12-3f-s53p6538-reference-0,500,40,ogive,E12-6,3,53.65384615384615,reference,0,4,90,236.6860723826824,316.92226313896305,0,27.0,completed,[],329.6962438403263,13.019335609420192,1.508678561597205,7.9137758565574075,4.926774979191687,183.40216959180933
b530-n40-ogive-D12-3f-s53p6538-reference-0,530,40,ogive,D12-5,3,53.65384615384615,reference,0,0,0,221.8860723826824,319.8173974503998,0,27.0,completed,[],185.5508888353531,12.784190343976341,2.579882941259122,1.1035765821813563,4.926887378023616,0.08963894641686102
b530-n40-ogive-D12-3f-s53p6538-reference-0,530,40,ogive,D12-5,3,53.65384615384615,reference,0,4,0,221.8860723826824,319.8173974503998,0,27.0,completed,[],178.26627788189128,12.777972605790863,1.9195491012412638,6.673622395530182,4.926887155056184,96.23737690292829
b530-n40-ogive-D12-3f-s53p6538-reference-0,530,40,ogive,D12-5,3,53.65384615384615,reference,0,4,90,221.8860723826824,319.8173974503998,0,27.0,completed,[],178.26166699626745,12.777973112587707,1.9195495416438177,6.657485126303724,4.92677497669083,96.313280660232
b530-n40-ogive-E12-3f-s53p6538-reference-0,530,40,ogive,E12-6,3,53.65384615384615,reference,0,0,0,238.18607238268243,331.5990536718847,0,27.0,completed,[],337.6549873396572,12.928251151412137,2.8047091039281,1.0592628441315255,4.945258869856446,0.21265023247647474
